state_id,reflection_partner_id,case,mesh,requested_amplitude,node,x,u,v
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p02,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p02,hm-m2-g2-L5p3-n2-beta6,40,-0.02,0,0.0,0.9796949998551153,0.9831509459503585
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p02,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p02,hm-m2-g2-L5p3-n2-beta6,40,-0.02,1,0.1325,0.9799461617510123,0.9833559033468109
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p02,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p02,hm-m2-g2-L5p3-n2-beta6,40,-0.02,2,0.265,0.9806931318635596,0.9839657328581153
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p02,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p02,hm-m2-g2-L5p3-n2-beta6,40,-0.02,3,0.3975,0.9819165504407417,0.9849654289916216
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p02,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p02,hm-m2-g2-L5p3-n2-beta6,40,-0.02,4,0.53,0.9835847685793457,0.9863303884710454
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p02,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p02,hm-m2-g2-L5p3-n2-beta6,40,-0.02,5,0.6625000000000001,0.9856547535974816,0.9880270099423113
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p02,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p02,hm-m2-g2-L5p3-n2-beta6,40,-0.02,6,0.795,0.9880733152554876,0.9900135152390667
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p02,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p02,hm-m2-g2-L5p3-n2-beta6,40,-0.02,7,0.9275,0.990778611814888,0.9922409737278456
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p02,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p02,hm-m2-g2-L5p3-n2-beta6,40,-0.02,8,1.06,0.9937018842544983,0.9946545059261201
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p02,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p02,hm-m2-g2-L5p3-n2-beta6,40,-0.02,9,1.1925000000000001,0.9967693579673936,0.9971946374923631
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p02,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p02,hm-m2-g2-L5p3-n2-beta6,40,-0.02,10,1.3250000000000002,0.9999042449274352,0.9997987700960284
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p02,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p02,hm-m2-g2-L5p3-n2-beta6,40,-0.02,11,1.4575,1.0030287765763397,1.0024027318962037
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p02,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p02,hm-m2-g2-L5p3-n2-beta6,40,-0.02,12,1.59,1.006066199199637,1.0049423676886544
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p02,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p02,hm-m2-g2-L5p3-n2-beta6,40,-0.02,13,1.7225000000000001,1.008942669506289,1.0073551274559882
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p02,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p02,hm-m2-g2-L5p3-n2-beta6,40,-0.02,14,1.855,1.0115889980701118,1.0095816121998806
