state_id,reflection_partner_id,case,mesh,requested_amplitude,measured_amplitude,chi,chi_star_disc,chi_star_continuum,alpha_n0,beta_n0,theory_c2,point_c2,delta_chi,delta_chi_over_amplitude_squared,solver_success,function_evaluations,system_residual_max,full_stationary_residual_max,elliptic_residual_max,amplitude_error,mass_constraint_error,u_min,v_min,sensitivity_denominator_min
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p02,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p02,hm-m2-g2-L5p3-n2-beta6,40,-0.02,-0.019999999999999997,131.66705579928308,131.69700700503788,131.74252982845638,0.01825853843966015,-1.3512633490503942,-74.00720235718636,-74.87801438699648,-0.029951205754798593,-74.87801438699648,True,50,1.7541523789077473e-14,1.7541523789077473e-14,3.552713678800501e-14,3.469446951953614e-18,,0.9796949998551138,0.9831509459503569,1.983150945950357
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p01,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p01,hm-m2-g2-L5p3-n2-beta6,40,-0.01,-0.010000000000000004,131.6895100163877,131.69700700503788,131.74252982845638,0.01825853843966015,-1.3512633490503942,-74.00720235718636,-74.96988650188996,-0.007496988650188996,-74.96988650188996,True,48,1.6431300764452317e-14,1.6431300764452317e-14,2.653433028854124e-14,-3.469446951953614e-18,,0.9899234016530843,0.9916248663456901,1.9916248663456901
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p005,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p005,hm-m2-g2-L5p3-n2-beta6,40,-0.005,-0.005000000000000014,131.69513218304246,131.69700700503788,131.74252982845638,0.01825853843966015,-1.3512633490503942,-74.00720235718636,-74.99287981659108,-0.0018748219954147771,-74.99287981659108,True,97,1.7319479184152442e-14,1.7319479184152442e-14,2.6867397195928788e-14,-1.3877787807814457e-17,,0.9949808110706245,0.9958250097234472,1.9958250097234473
hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p0025,hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p0025,hm-m2-g2-L5p3-n2-beta6,40,-0.0025,-0.0025000000000000096,131.69653826357194,131.69700700503788,131.74252982845638,0.01825853843966015,-1.3512633490503942,-74.00720235718636,-74.99863454995648,-0.000468741465937228,-74.99863454995648,True,49,1.687538997430238e-14,1.687538997430238e-14,3.319566843629218e-14,-9.540979117872439e-18,,0.9974951981135353,0.9979156771350653,1.9979156771350652
hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p0025,hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p0025,hm-m2-g2-L5p3-n2-beta6,40,0.0025,0.0025000000000000044,131.6965382636392,131.69700700503788,131.74252982845638,0.01825853843966015,-1.3512633490503942,-74.00720235718636,-74.99862378608668,-0.00046874139866304176,-74.99862378608668,True,49,2.1316282072803006e-14,2.1316282072803006e-14,2.220446049250313e-14,4.336808689942018e-18,,0.9974951981135337,0.9979156771350638,1.997915677135064
hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p005,hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p005,hm-m2-g2-L5p3-n2-beta6,40,0.005,0.005000000000000012,131.6951321830774,131.69700700503788,131.74252982845638,0.01825853843966015,-1.3512633490503942,-74.00720235718636,-74.99287841937985,-0.0018748219604844962,-74.99287841937985,True,96,1.554312234475219e-14,1.554312234475219e-14,2.930988785010413e-14,1.214306433183765e-17,,0.994980811070625,0.9958250097234476,1.9958250097234476
hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p01,hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p01,hm-m2-g2-L5p3-n2-beta6,40,0.01,0.009999999999999995,131.6895100164068,131.69700700503788,131.74252982845638,0.01825853843966015,-1.3512633490503942,-74.00720235718636,-74.96988631061186,-0.0074969886310611855,-74.96988631061186,True,48,1.5765166949677223e-14,1.5765166949677223e-14,2.4646951146678475e-14,-5.204170427930421e-18,,0.9899234016530846,0.9916248663456886,1.9916248663456886
hm-m2-g2-L5p3-n2-beta6__N0040__Aplus_0p02,hm-m2-g2-L5p3-n2-beta6__N0040__Aminus_0p02,hm-m2-g2-L5p3-n2-beta6,40,0.02,0.019999999999999976,131.6670557992914,131.69700700503788,131.74252982845638,0.01825853843966015,-1.3512633490503942,-74.00720235718636,-74.87801436617758,-0.029951205746471032,-74.87801436617758,True,49,1.2323475573339238e-14,1.2323475573339238e-14,2.220446049250313e-14,-2.42861286636753e-17,,0.9796949998551137,0.983150945950354,1.983150945950354
hm-m2-g2-L5p3-n2-beta6__N0080__Aminus_0p02,hm-m2-g2-L5p3-n2-beta6__N0080__Aplus_0p02,hm-m2-g2-L5p3-n2-beta6,80,-0.02,-0.020000000000000004,131.70146960476356,131.7311240270602,131.74252982845638,0.01825853843966015,-1.3512633490503942,-74.00720235718636,-74.136055741576,-0.0296544222966304,-74.136055741576,True,90,7.016609515630989e-14,7.016609515630989e-14,7.527312106958561e-14,-3.469446951953614e-18,,0.9796974382857989,0.9831685130433002,1.9831685130433003
hm-m2-g2-L5p3-n2-beta6__N0080__Aminus_0p01,hm-m2-g2-L5p3-n2-beta6__N0080__Aplus_0p01,hm-m2-g2-L5p3-n2-beta6,80,-0.01,-0.009999999999999981,131.72370155705525,131.7311240270602,131.74252982845638,0.01825853843966015,-1.3512633490503942,-74.00720235718636,-74.22470004939896,-0.007422470004939896,-74.22470004939896,True,88,7.172040739078511e-14,7.172040739078511e-14,8.171241461241152e-14,1.9081958235744878e-17,,0.9899240161363493,0.9916330132217276,1.9916330132217275
