state_id,reflection_partner_id,case,mesh,requested_amplitude,node,x,u,v
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,23,3.833333333333333,1.0036333896820888,1.003024451982821
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,24,4.0,0.9997259531073052,0.9997468863340503
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,25,4.166666666666666,0.9958298393420846,0.9964775124913279
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,26,4.333333333333333,0.9920941201254401,0.993341484303251
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,27,4.5,0.9886605158273604,0.9904579767017233
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,28,4.666666666666666,0.9856582307424732,0.987935812465354
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,29,4.833333333333333,0.9831994063267824,0.9858695833577338
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,30,5.0,0.9813753032941328,0.984336368437791
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,31,5.166666666666666,0.9802532847155105,0.9833931224767968
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,32,5.333333333333333,0.9798746419851979,0.983074782634726
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,33,5.5,0.9802532847155105,0.9833931224767971
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,34,5.666666666666666,0.9813753032941328,0.9843363684377917
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,35,5.833333333333333,0.9831994063267825,0.9858695833577346
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,36,6.0,0.9856582307424734,0.987935812465355
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,37,6.166666666666666,0.9886605158273607,0.9904579767017244
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,38,6.333333333333333,0.9920941201254406,0.9933414843032522
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,39,6.5,0.9958298393420854,0.9964775124913292
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,40,6.666666666666666,0.999725953107306,0.9997468863340515
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,41,6.833333333333333,1.00363338968209,1.0030244519828222
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,42,7.0,1.007401353420229,1.0061838084954278
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,43,7.166666666666666,1.0108832147450457,1.0091022294975476
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,44,7.333333333333333,1.0139424223964517,1.0116655770453415
