state_id,reflection_partner_id,case,mesh,requested_amplitude,node,x,u,v
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2,40,-0.02,0,0.0,0.9797446632670888,0.9831666385354844
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2,40,-0.02,1,0.1325,0.9799935228708818,0.9833708794624795
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2,40,-0.02,2,0.265,0.9807337885302216,0.9839786257709335
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2,40,-0.02,3,0.3975,0.9819466930011806,0.984975065028221
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2,40,-0.02,4,0.53,0.9836015260164248,0.986335897546662
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2,40,-0.02,5,0.6625000000000001,0.9856564677004539,0.9880279100338629
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2,40,-0.02,6,0.795,0.9880597174717375,0.9900097628256826
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2,40,-0.02,7,0.9275,0.9907508822239733,0.9922329746857325
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2,40,-0.02,8,1.06,0.993662579652407,0.9946430844854035
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2,40,-0.02,9,1.1925000000000001,0.9967222064867924,0.9971809644991718
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2,40,-0.02,10,1.3250000000000002,0.9998538174473443,0.9997842557225347
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2,40,-0.02,11,1.4575,1.0029800591747384,1.0023888917451411
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2,40,-0.02,12,1.59,1.0060241042548073,1.004930674507961
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2,40,-0.02,13,1.7225000000000001,1.008911533619774,1.0073468629511
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2,40,-0.02,14,1.855,1.0115721207147377,1.0095777342955317
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2,40,-0.02,15,1.9875,1.0139414773502742,1.0115680776218199
