state_id,reflection_partner_id,case,mesh,requested_amplitude,node,x,u,v
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3,40,-0.02,0,0.0,0.9796137563456154,0.9831261086097245
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3,40,-0.02,1,0.1325,0.9798689937813455,0.9833322452926612
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3,40,-0.02,2,0.265,0.9806277619342847,0.9839454938624413
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3,40,-0.02,3,0.3975,0.9818694636912924,0.9849505046450894
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3,40,-0.02,4,0.53,0.9835605430174624,0.9863221401546882
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3,40,-0.02,5,0.6625000000000001,0.9856556025140978,0.9880261294932386
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3,40,-0.02,6,0.795,0.9880988887188937,0.9900199578198942
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3,40,-0.02,7,0.9275,0.9908260727871967,0.9922539651959625
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3,40,-0.02,8,1.06,0.9937662428137036,0.9946726232172506
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3,40,-0.02,9,1.1925000000000001,0.9968440186224757,0.9972159530479892
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3,40,-0.02,10,1.3250000000000002,0.999981700596352,0.9998210449864596
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3,40,-0.02,11,1.4575,1.0031013706994378,1.0024236376779052
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3,40,-0.02,12,1.59,1.0061268753896662,1.0049597146148554
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3,40,-0.02,13,1.7225000000000001,1.0089856352886204,1.007367076592311
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3,40,-0.02,14,1.855,1.0116102436332062,1.0095868511686745
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3,40,-0.02,15,1.9875,1.0139398329228897,1.0115649036781722
