state_id,reflection_partner_id,case,mesh,requested_amplitude,measured_amplitude,chi,chi_star_disc,chi_star_continuum,alpha_n0,beta_n0,theory_c2,point_c2,delta_chi,delta_chi_over_amplitude_squared,solver_success,function_evaluations,system_residual_max,full_stationary_residual_max,elliptic_residual_max,amplitude_error,mass_constraint_error,u_min,v_min,sensitivity_denominator_min
hm-a10-g1-L5p3-n3-beta2__N0048__Aminus_0p02,hm-a10-g1-L5p3-n3-beta2__N0048__Aplus_0p02,hm-a10-g1-L5p3-n3-beta2,48,-0.02,-0.01999999999999989,209.62691377987827,209.6275199699701,209.62711939432356,0.06278867276001428,-0.0949899884566199,-1.5128523072892919,-1.5154752296098195,-0.0006061900918439278,-1.5154752296098195,True,56,1.9895196601282805e-13,1.9895196601282805e-13,3.2507330161024584e-13,1.1102230246251565e-16,,9.979994759711039,9.995164342639463,10.995164342639463
hm-a10-g1-L5p3-n3-beta2__N0048__Aminus_0p01,hm-a10-g1-L5p3-n3-beta2__N0048__Aplus_0p01,hm-a10-g1-L5p3-n3-beta2,48,-0.01,-0.009999999999999844,209.62736842262828,209.6275199699701,209.62711939432356,0.06278867276001428,-0.0949899884566199,-1.5128523072892919,-1.5154734182942775,-0.00015154734182942775,-1.5154734182942775,True,55,2.7000623958883807e-13,2.7000623958883807e-13,3.3573144264664734e-13,1.5612511283791264e-16,,9.989998690904795,9.997586864829085,10.997586864829085
hm-a10-g1-L5p3-n3-beta2__N0048__Aminus_0p005,hm-a10-g1-L5p3-n3-beta2__N0048__Aplus_0p005,hm-a10-g1-L5p3-n3-beta2,48,-0.005,-0.005000000000000169,209.6274820831621,209.6275199699701,209.62711939432356,0.06278867276001428,-0.0949899884566199,-1.5128523072892919,-1.5154723200794251,-3.788680800198563e-05,-1.5154723200794251,True,55,2.5579538487363607e-13,2.5579538487363607e-13,3.232969447708456e-13,-1.691355389077387e-16,,9.99499967284802,9.998794605775203,10.998794605775203
hm-a10-g1-L5p3-n3-beta2__N0048__Aminus_0p0025,hm-a10-g1-L5p3-n3-beta2__N0048__Aplus_0p0025,hm-a10-g1-L5p3-n3-beta2,48,-0.0025,-0.0024999999999999888,209.62751049835566,209.6275199699701,209.62711939432356,0.06278867276001428,-0.0949899884566199,-1.5128523072892919,-1.515458311587281,-9.471614447420507e-06,-1.515458311587281,True,55,2.7000623958883807e-13,2.7000623958883807e-13,4.1389114358025836e-13,1.1275702593849246e-17,,9.99749991822709,9.9993975962259,10.9993975962259
hm-a10-g1-L5p3-n3-beta2__N0048__Aplus_0p0025,hm-a10-g1-L5p3-n3-beta2__N0048__Aminus_0p0025,hm-a10-g1-L5p3-n3-beta2,48,0.0025,0.002499999999999997,209.62751049835697,209.6275199699701,209.62711939432356,0.06278867276001428,-0.0949899884566199,-1.5128523072892919,-1.5154581024034997,-9.471613140021873e-06,-1.5154581024034997,True,55,3.126388037344441e-13,3.126388037344441e-13,3.410605131648481e-13,-3.0357660829594124e-18,,9.997499918227058,9.99939759622588,10.99939759622588
hm-a10-g1-L5p3-n3-beta2__N0048__Aplus_0p005,hm-a10-g1-L5p3-n3-beta2__N0048__Aminus_0p005,hm-a10-g1-L5p3-n3-beta2,48,0.005,0.004999999999999965,209.62748208318183,209.6275199699701,209.62711939432356,0.06278867276001428,-0.0949899884566199,-1.5128523072892919,-1.5154715310927713,-3.788678827731928e-05,-1.5154715310927713,True,55,2.4158453015843406e-13,2.4158453015843406e-13,3.517186542012496e-13,-3.469446951953614e-17,,9.99499967284801,9.99879460577519,10.99879460577519
hm-a10-g1-L5p3-n3-beta2__N0048__Aplus_0p01,hm-a10-g1-L5p3-n3-beta2__N0048__Aminus_0p01,hm-a10-g1-L5p3-n3-beta2,48,0.01,0.010000000000000281,209.6273684226254,209.6275199699701,209.62711939432356,0.06278867276001428,-0.0949899884566199,-1.5128523072892919,-1.515473447000204,-0.0001515473447000204,-1.515473447000204,True,55,3.126388037344441e-13,3.126388037344441e-13,3.232969447708456e-13,2.8102520310824275e-16,,9.98999869090478,9.997586864829076,10.997586864829076
hm-a10-g1-L5p3-n3-beta2__N0048__Aplus_0p02,hm-a10-g1-L5p3-n3-beta2__N0048__Aminus_0p02,hm-a10-g1-L5p3-n3-beta2,48,0.02,0.020000000000000025,209.62691377986593,209.6275199699701,209.62711939432356,0.06278867276001428,-0.0949899884566199,-1.5128523072892919,-1.5154752604473742,-0.0006061901041789497,-1.5154752604473742,True,56,2.8421709430404007e-13,2.8421709430404007e-13,3.375077994860476e-13,2.42861286636753e-17,,9.979994759711023,9.995164342639447,10.995164342639447
hm-a10-g1-L5p3-n3-beta2__N0096__Aminus_0p02,hm-a10-g1-L5p3-n3-beta2__N0096__Aplus_0p02,hm-a10-g1-L5p3-n3-beta2,96,-0.02,-0.019999999999999966,209.62654001431451,209.62714542511893,209.62711939432356,0.06278867276001428,-0.0949899884566199,-1.5128523072892919,-1.5135270110278043,-0.0006054108044111217,-1.5135270110278043,True,104,1.0089706847793423e-12,1.0089706847793423e-12,1.305622276959184e-12,3.469446951953614e-17,,9.979994661011673,9.995173036452908,10.995173036452908
hm-a10-g1-L5p3-n3-beta2__N0096__Aminus_0p01,hm-a10-g1-L5p3-n3-beta2__N0096__Aplus_0p01,hm-a10-g1-L5p3-n3-beta2,96,-0.01,-0.01000000000000004,209.62699407258663,209.62714542511893,209.62711939432356,0.06278867276001428,-0.0949899884566199,-1.5128523072892919,-1.513525322991427,-0.0001513525322991427,-1.513525322991427,True,103,8.526512829121202e-13,8.526512829121202e-13,1.3322676295501878e-12,-3.9898639947466563e-17,,9.989998666253497,9.99759124060014,10.99759124060014
hm-a10-g1-L5p3-n3-beta2__N0096__Aminus_0p005,hm-a10-g1-L5p3-n3-beta2__N0096__Aplus_0p005,hm-a10-g1-L5p3-n3-beta2,96,-0.005,-0.004999999999999868,209.62710758716185,209.62714542511893,209.62711939432356,0.06278867276001428,-0.0949899884566199,-1.5128523072892919,-1.5135182832182181,-3.783795708045545e-05,-1.5135182832182181,True,103,1.2079226507921703e-12,1.2079226507921703e-12,9.947598300641403e-13,1.3183898417423734e-16,,9.994999666688077,9.99879680087672,10.99879680087672
hm-a10-g1-L5p3-n3-beta2__N0096__Aminus_0p0025,hm-a10-g1-L5p3-n3-beta2__N0096__Aplus_0p0025,hm-a10-g1-L5p3-n3-beta2,96,-0.0025,-0.002499999999999874,209.62713596580434,209.62714542511893,209.62711939432356,0.06278867276001428,-0.0949899884566199,-1.5128523072892919,-1.5134903333091643,-9.459314583182277e-06,-1.5134903333091643,True,103,8.810729923425242e-13,8.810729923425242e-13,1.4797052472204086e-12,1.2620113287731272e-16,,9.997499916687374,9.999398695580616,10.999398695580616
hm-a10-g1-L5p3-n3-beta2__N0096__Aplus_0p0025,hm-a10-g1-L5p3-n3-beta2__N0096__Aminus_0p0025,hm-a10-g1-L5p3-n3-beta2,96,0.0025,0.0024999999999999077,209.62713596558186,209.62714542511893,209.62711939432356,0.06278867276001428,-0.0949899884566199,-1.5128523072892919,-1.5135259309317917,-9.459537068323698e-06,-1.5135259309317917,True,103,9.094947017729282e-13,9.094947017729282e-13,1.5081269566508126e-12,-9.237402509576498e-17,,9.997499916687472,9.999398695580657,10.999398695580657
hm-a10-g1-L5p3-n3-beta2__N0096__Aplus_0p005,hm-a10-g1-L5p3-n3-beta2__N0096__Aminus_0p005,hm-a10-g1-L5p3-n3-beta2,96,0.005,0.005000000000000066,209.627107586943,209.62714542511893,209.62711939432356,0.06278867276001428,-0.0949899884566199,-1.5128523072892919,-1.5135270371047227,-3.783817592761807e-05,-1.5135270371047227,True,103,7.958078640513122e-13,7.958078640513122e-13,1.1031175972675555e-12,6.591949208711867e-17,,9.994999666688155,9.99879680087674,10.99879680087674
hm-a10-g1-L5p3-n3-beta2__N0096__Aplus_0p01,hm-a10-g1-L5p3-n3-beta2__N0096__Aminus_0p01,hm-a10-g1-L5p3-n3-beta2,96,0.01,0.009999999999999983,209.6269940725854,209.62714542511893,209.62711939432356,0.06278867276001428,-0.0949899884566199,-1.5128523072892919,-1.513525335212762,-0.0001513525335212762,-1.513525335212762,True,104,1.0942358130705543e-12,1.0942358130705543e-12,1.0516032489249483e-12,-1.734723475976807e-17,,9.989998666253596,9.997591240600183,10.997591240600183
hm-a10-g1-L5p3-n3-beta2__N0096__Aplus_0p02,hm-a10-g1-L5p3-n3-beta2__N0096__Aminus_0p02,hm-a10-g1-L5p3-n3-beta2,96,0.02,0.020000000000000063,209.62654001427117,209.62714542511893,209.62711939432356,0.06278867276001428,-0.0949899884566199,-1.5128523072892919,-1.5135271193855715,-0.0006054108477542286,-1.5135271193855715,True,105,1.0373923942097463e-12,1.0373923942097463e-12,1.1439738045737613e-12,6.245004513516506e-17,,9.979994661011803,9.995173036452945,10.995173036452945
