state_id,reflection_partner_id,case,mesh,requested_amplitude,measured_amplitude,chi,chi_star_disc,chi_star_continuum,alpha_n0,beta_n0,theory_c2,point_c2,delta_chi,delta_chi_over_amplitude_squared,solver_success,function_evaluations,system_residual_max,full_stationary_residual_max,elliptic_residual_max,amplitude_error,mass_constraint_error,u_min,v_min,sensitivity_denominator_min
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,-0.019999999999999882,209.63742116137644,209.63802102352997,209.64083952266583,0.0630732446874839,-0.09449102075120734,-1.498115741775972,-1.4996553838386717,-0.0005998621535354687,-1.4996553838386717,True,48,4.121147867408581e-13,4.121147867408581e-13,6.092903959142859e-13,1.1796119636642288e-16,,9.979994934446193,9.995237456784269,10.995237456784269
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p01,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p01,hm-a10-g1-L3p5-n2-beta2,40,-0.01,-0.00999999999999998,209.63787105815283,209.63802102352997,209.64083952266583,0.0630732446874839,-0.09449102075120734,-1.498115741775972,-1.4996537714750957,-0.00014996537714750957,-1.4996537714750957,True,47,3.979039320256561e-13,3.979039320256561e-13,6.075140390748857e-13,2.0816681711721685e-17,,9.989998734650756,9.997623436069313,10.997623436069313
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p005,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p005,hm-a10-g1-L3p5-n2-beta2,40,-0.005,-0.005000000000000055,209.63798353208128,209.63802102352997,209.64083952266583,0.0630732446874839,-0.09449102075120734,-1.498115741775972,-1.4996579477610794,-3.7491448694026985e-05,-1.4996579477610794,True,47,3.836930773104541e-13,3.836930773104541e-13,6.181721801112872e-13,-5.4643789493269423e-17,,9.99499968379263,9.998812894936885,10.998812894936885
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p0025,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p0025,hm-a10-g1-L3p5-n2-beta2,40,-0.0025,-0.0025000000000000274,209.63801165057643,209.63802102352997,209.64083952266583,0.0630732446874839,-0.09449102075120734,-1.498115741775972,-1.499672566751542,-9.372953542197138e-06,-1.499672566751542,True,47,2.984279490192421e-13,2.984279490192421e-13,5.009326287108706e-13,-2.7321894746634712e-17,,9.997499920964588,9.999406741692152,10.999406741692152
hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p0025,hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p0025,hm-a10-g1-L3p5-n2-beta2,40,0.0025,0.0024999999999999315,209.63801165092707,209.63802102352997,209.64083952266583,0.0630732446874839,-0.09449102075120734,-1.498115741775972,-1.4996164645708632,-9.372602903567895e-06,-1.4996164645708632,True,47,4.121147867408581e-13,4.121147867408581e-13,4.796163466380676e-13,-6.852157730108388e-17,,9.997499920964641,9.999406741692162,10.999406741692162
hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p005,hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p005,hm-a10-g1-L3p5-n2-beta2,40,0.005,0.004999999999999999,209.63798353238002,209.63802102352997,209.64083952266583,0.0630732446874839,-0.09449102075120734,-1.498115741775972,-1.4996459981375665,-3.749114995343916e-05,-1.4996459981375665,True,47,3.694822225952521e-13,3.694822225952521e-13,5.737632591262809e-13,-8.673617379884035e-19,,9.994999683792688,9.998812894936894,10.998812894936894
hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p01,hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p01,hm-a10-g1-L3p5-n2-beta2,40,0.01,0.010000000000000148,209.63787105820816,209.63802102352997,209.64083952266583,0.0630732446874839,-0.09449102075120734,-1.498115741775972,-1.499653218104413,-0.0001499653218104413,-1.499653218104413,True,47,4.547473508864641e-13,4.547473508864641e-13,5.613287612504791e-13,1.474514954580286e-16,,9.98999873465082,9.997623436069329,10.997623436069329
hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2,40,0.02,0.019999999999999966,209.63742116139497,209.63802102352997,209.64083952266583,0.0630732446874839,-0.09449102075120734,-1.498115741775972,-1.4996553375112853,-0.0005998621350045141,-1.4996553375112853,True,49,3.836930773104541e-13,3.836930773104541e-13,6.181721801112872e-13,-3.469446951953614e-17,,9.979994934446237,9.995237456784267,10.995237456784267
hm-a10-g1-L3p5-n2-beta2__N0080__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0080__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,80,-0.02,-0.020000000000000018,209.63950525622158,209.64010466007193,209.64083952266583,0.0630732446874839,-0.09449102075120734,-1.498115741775972,-1.4985096258612884,-0.0005994038503445154,-1.4985096258612884,True,89,1.2789769243681803e-12,1.2789769243681803e-12,1.6679990721968352e-12,-1.734723475976807e-17,,9.979994866113547,9.995242960834222,10.995242960834222
hm-a10-g1-L3p5-n2-beta2__N0080__Aminus_0p01,hm-a10-g1-L3p5-n2-beta2__N0080__Aplus_0p01,hm-a10-g1-L3p5-n2-beta2,80,-0.01,-0.010000000000000094,209.63995480931968,209.64010466007193,209.64083952266583,0.0630732446874839,-0.09449102075120734,-1.498115741775972,-1.498507522512682,-0.0001498507522512682,-1.498507522512682,True,87,1.6342482922482304e-12,1.6342482922482304e-12,1.8740564655672642e-12,-9.367506770274758e-17,,9.989998717581186,9.997626206948114,10.997626206948114
