state_id,reflection_partner_id,case,mesh,requested_amplitude,measured_amplitude,chi,chi_star_disc,chi_star_continuum,alpha_n0,beta_n0,theory_c2,point_c2,delta_chi,delta_chi_over_amplitude_squared,solver_success,function_evaluations,system_residual_max,full_stationary_residual_max,elliptic_residual_max,amplitude_error,mass_constraint_error,u_min,v_min,sensitivity_denominator_min
hm-m2-g2-L5p3-n2-beta1__N0080__Aminus_0p02,hm-m2-g2-L5p3-n2-beta1__N0080__Aplus_0p02,hm-m2-g2-L5p3-n2-beta1,80,-0.02,-0.020000000000000004,4.118119969216914,4.116597625845631,4.116954057139262,0.5842732300691248,2.2622417495055176,3.8718901244848647,3.805858428207465,0.001522343371282986,3.805858428207465,True,89,7.815970093361102e-14,7.815970093361102e-14,6.994405055138486e-14,-3.469446951953614e-18,,0.9803239197003103,0.9833567818726123,1.9833567818726123
hm-m2-g2-L5p3-n2-beta1__N0080__Aminus_0p01,hm-m2-g2-L5p3-n2-beta1__N0080__Aplus_0p01,hm-m2-g2-L5p3-n2-beta1,80,-0.01,-0.009999999999999983,4.116977886703926,4.116597625845631,4.116954057139262,0.5842732300691248,2.2622417495055176,3.8718901244848647,3.8026085829478973,0.00038026085829478973,3.8026085829478973,True,88,6.261657858885883e-14,6.261657858885883e-14,7.571721027943568e-14,1.734723475976807e-17,,0.9900826830013214,0.9916811949168693,1.9916811949168693
hm-m2-g2-L5p3-n2-beta1__N0080__Aminus_0p005,hm-m2-g2-L5p3-n2-beta1__N0080__Aplus_0p005,hm-m2-g2-L5p3-n2-beta1,80,-0.005,-0.004999999999999998,4.1166926707742375,4.116597625845631,4.116954057139262,0.5842732300691248,2.2622417495055176,3.8718901244848647,3.801797144262764,9.50449286065691e-05,3.801797144262764,True,88,6.195044477408373e-14,6.195044477408373e-14,8.748557434046234e-14,1.734723475976807e-18,,0.9950208871087141,0.9958411041215721,1.9958411041215722
hm-m2-g2-L5p3-n2-beta1__N0080__Aminus_0p0025,hm-m2-g2-L5p3-n2-beta1__N0080__Aplus_0p0025,hm-m2-g2-L5p3-n2-beta1,80,-0.0025,-0.0025000000000000014,4.116621385810609,4.116597625845631,4.116954057139262,0.5842732300691248,2.2622417495055176,3.8718901244848647,3.8015943964353482,2.3759964977720927e-05,3.8015943964353482,True,174,6.927791673660977e-14,6.927791673660977e-14,8.681944052568724e-14,-1.3010426069826053e-18,,0.9975052490491118,0.9979206548237328,1.9979206548237327
hm-m2-g2-L5p3-n2-beta1__N0080__Aplus_0p0025,hm-m2-g2-L5p3-n2-beta1__N0080__Aminus_0p0025,hm-m2-g2-L5p3-n2-beta1,80,0.0025,0.0024999999999999944,4.116621385809321,4.116597625845631,4.116954057139262,0.5842732300691248,2.2622417495055176,3.8718901244848647,3.801594190377955,2.3759963689862218e-05,3.801594190377955,True,173,6.727951529228449e-14,6.727951529228449e-14,1.0724754417879012e-13,-5.637851296924623e-18,,0.9975052490491207,0.9979206548237404,1.9979206548237403
hm-m2-g2-L5p3-n2-beta1__N0080__Aplus_0p005,hm-m2-g2-L5p3-n2-beta1__N0080__Aminus_0p005,hm-m2-g2-L5p3-n2-beta1,80,0.005,0.004999999999999997,4.116692670773691,4.116597625845631,4.116954057139262,0.5842732300691248,2.2622417495055176,3.8718901244848647,3.801797122413575,9.504492806033937e-05,3.801797122413575,True,88,8.304468224196171e-14,8.304468224196171e-14,1.0058620603103918e-13,-3.469446951953614e-18,,0.9950208871087173,0.9958411041215741,1.995841104121574
hm-m2-g2-L5p3-n2-beta1__N0080__Aplus_0p01,hm-m2-g2-L5p3-n2-beta1__N0080__Aminus_0p01,hm-m2-g2-L5p3-n2-beta1,80,0.01,0.010000000000000004,4.116977886703667,4.116597625845631,4.116954057139262,0.5842732300691248,2.2622417495055176,3.8718901244848647,3.802608580363298,0.0003802608580363298,3.802608580363298,True,88,6.372680161348399e-14,6.372680161348399e-14,1.0902390101819037e-13,3.469446951953614e-18,,0.9900826830013242,0.99168119491687,1.99168119491687
hm-m2-g2-L5p3-n2-beta1__N0080__Aplus_0p02,hm-m2-g2-L5p3-n2-beta1__N0080__Aminus_0p02,hm-m2-g2-L5p3-n2-beta1,80,0.02,0.019999999999999997,4.1181199692168,4.116597625845631,4.116954057139262,0.5842732300691248,2.2622417495055176,3.8718901244848647,3.8058584279232477,0.001522343371169299,3.8058584279232477,True,89,8.659739592076221e-14,8.659739592076221e-14,1.0547118733938987e-13,-3.469446951953614e-18,,0.9803239197003134,0.9833567818726129,1.983356781872613
hm-m2-g2-L5p3-n2-beta1__N0160__Aminus_0p02,hm-m2-g2-L5p3-n2-beta1__N0160__Aplus_0p02,hm-m2-g2-L5p3-n2-beta1,160,-0.02,-0.019999999999999997,4.1184084550446745,4.116864900309062,4.116954057139262,0.5842732300691248,2.2622417495055176,3.8718901244848647,3.8588868390321274,0.001543554735612851,3.8588868390321274,True,334,3.3506530883187224e-13,3.3506530883187224e-13,4.714006962558415e-13,3.469446951953614e-18,,0.9803222309903933,0.9833582842702187,1.9833582842702187
hm-m2-g2-L5p3-n2-beta1__N0160__Aminus_0p01,hm-m2-g2-L5p3-n2-beta1__N0160__Aplus_0p01,hm-m2-g2-L5p3-n2-beta1,160,-0.01,-0.009999999999999997,4.117250444842373,4.116864900309062,4.116954057139262,0.5842732300691248,2.2622417495055176,3.8718901244848647,3.8554453331141048,0.0003855445333114105,3.8554453331141048,True,168,2.509104035652854e-13,2.509104035652854e-13,4.1522341120980855e-13,3.469446951953614e-18,,0.9900822555622422,0.9916825044584223,1.9916825044584223
hm-m2-g2-L5p3-n2-beta1__N0160__Aminus_0p005,hm-m2-g2-L5p3-n2-beta1__N0160__Aplus_0p005,hm-m2-g2-L5p3-n2-beta1,160,-0.005,-0.004999999999999994,4.11696126496349,4.116864900309062,4.116954057139262,0.5842732300691248,2.2622417495055176,3.8718901244848647,3.8545861771410728,9.636465442852682e-05,3.8545861771410728,True,337,3.539391002504999e-13,3.539391002504999e-13,4.1366909897533333e-13,6.071532165918825e-18,,0.9950207794912553,0.9958418993067213,1.9958418993067213
hm-m2-g2-L5p3-n2-beta1__N0160__Aminus_0p0025,hm-m2-g2-L5p3-n2-beta1__N0160__Aplus_0p0025,hm-m2-g2-L5p3-n2-beta1,160,-0.0025,-0.0025000000000000053,4.116888990132447,4.116864900309062,4.116954057139262,0.5842732300691248,2.2622417495055176,3.8718901244848647,3.8543717415961964,2.4089823384976228e-05,3.8543717415961964,True,333,3.40394379350073e-13,3.40394379350073e-13,5.266898028821743e-13,-5.204170427930421e-18,,0.9975052220435867,0.9979210876900301,1.9979210876900302
hm-m2-g2-L5p3-n2-beta1__N0160__Aplus_0p0025,hm-m2-g2-L5p3-n2-beta1__N0160__Aminus_0p0025,hm-m2-g2-L5p3-n2-beta1,160,0.0025,0.002499999999999993,4.116888990131411,4.116864900309062,4.116954057139262,0.5842732300691248,2.2622417495055176,3.8718901244848647,3.8543715758976305,2.408982234936019e-05,3.8543715758976305,True,334,3.3151259515307174e-13,3.3151259515307174e-13,4.3010039973978564e-13,-6.938893903907228e-18,,0.9975052220436182,0.9979210876900552,1.997921087690055
hm-m2-g2-L5p3-n2-beta1__N0160__Aplus_0p005,hm-m2-g2-L5p3-n2-beta1__N0160__Aminus_0p005,hm-m2-g2-L5p3-n2-beta1,160,0.005,0.004999999999999994,4.116961264963166,4.116864900309062,4.116954057139262,0.5842732300691248,2.2622417495055176,3.8718901244848647,3.854586164173668,9.63646541043417e-05,3.854586164173668,True,337,3.5504932327512506e-13,3.5504932327512506e-13,3.7414515929867775e-13,-6.071532165918825e-18,,0.9950207794912866,0.9958418993067578,1.995841899306758
hm-m2-g2-L5p3-n2-beta1__N0160__Aplus_0p01,hm-m2-g2-L5p3-n2-beta1__N0160__Aminus_0p01,hm-m2-g2-L5p3-n2-beta1,160,0.01,0.009999999999999997,4.117250444842094,4.116864900309062,4.116954057139262,0.5842732300691248,2.2622417495055176,3.8718901244848647,3.8554453303252245,0.00038554453303252245,3.8554453303252245,True,168,3.4150460237469815e-13,3.4150460237469815e-13,3.788080960021034e-13,-3.469446951953614e-18,,0.99008225556227,0.9916825044584524,1.9916825044584523
