state_id,reflection_partner_id,case,mesh,requested_amplitude,node,x,u,v
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,26,3.4450000000000003,1.0114925365652705,1.009558954120466
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,27,3.5775,1.0087598507193187,1.007305862001519
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,28,3.71,1.0058156829270863,1.00487210598538
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,29,3.8425000000000002,1.0027357624194937,1.0023190889227345
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,30,3.975,0.9995979205074231,0.9997105955091069
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,31,4.1075,0.9964799943468337,0.9971111364157872
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,32,4.24,0.993457873197787,0.9945843383800054
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,33,4.3725000000000005,0.9906037347474955,0.9921914206648786
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,34,4.505,0.9879845006953509,0.9899897899046647
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,35,4.6375,0.9856605239389936,0.9880317769779499
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,36,4.7700000000000005,0.9836845056354697,0.9863635318627993
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,37,4.9025,0.9821006299407766,0.9850240859075647
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,38,5.035,0.9809438976919431,0.9840445858896062
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,39,5.1675,0.9802396376259602,0.9834477007355025
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,40,5.3,0.9800031745538177,0.9832471997786295
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p01,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p01,xover-m05-g2-L5p3-n2-beta0,40,-0.01,0,0.0,0.9900010211376448,0.991649416081854
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p01,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p01,xover-m05-g2-L5p3-n2-beta0,40,-0.01,1,0.1325,0.9901216716794323,0.9917507805518142
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p01,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p01,xover-m05-g2-L5p3-n2-beta0,40,-0.01,2,0.265,0.9904808303070988,0.992052459303059
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p01,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p01,xover-m05-g2-L5p3-n2-beta0,40,-0.01,3,0.3975,0.9910701699379223,0.9925472600363606
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p01,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p01,xover-m05-g2-L5p3-n2-beta0,40,-0.01,4,0.53,0.9918759853919752,0.993223367293614
