state_id,reflection_partner_id,case,mesh,requested_amplitude,measured_amplitude,chi,chi_star_disc,chi_star_continuum,alpha_n0,beta_n0,theory_c2,point_c2,delta_chi,delta_chi_over_amplitude_squared,solver_success,function_evaluations,system_residual_max,full_stationary_residual_max,elliptic_residual_max,amplitude_error,mass_constraint_error,u_min,v_min,sensitivity_denominator_min
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,-0.019999999999999997,2.058015564853367,2.057765734453717,2.058477028569631,1.1685464601382496,0.7507217437945042,0.6424406469090558,0.6245759991252431,0.00024983039965009723,0.6245759991252431,True,48,1.7319479184152442e-14,1.7319479184152442e-14,2.6423307986078726e-14,3.469446951953614e-18,,0.9800031745538146,0.9832471997786228,1.983247199778623
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p01,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p01,xover-m05-g2-L5p3-n2-beta0,40,-0.01,-0.009999999999999997,2.0578281693210942,2.057765734453717,2.058477028569631,1.1685464601382496,0.7507217437945042,0.6424406469090558,0.6243486737744774,6.243486737744774e-05,0.6243486737744774,True,48,2.4202861936828413e-14,2.4202861936828413e-14,2.942091015256665e-14,3.469446951953614e-18,,0.9900010211376448,0.991649416081854,1.991649416081854
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p005,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p005,xover-m05-g2-L5p3-n2-beta0,40,-0.005,-0.004999999999999989,2.057781341750233,2.057765734453717,2.058477028569631,1.1685464601382496,0.7507217437945042,0.6424406469090558,0.6242918606425008,1.560729651606252e-05,0.6242918606425008,True,95,1.7763568394002505e-14,1.7763568394002505e-14,2.3203661214665772e-14,1.1275702593849246e-17,,0.9950002833571389,0.9958312063900483,1.9958312063900483
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p0025,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p0025,xover-m05-g2-L5p3-n2-beta0,40,-0.0025,-0.002499999999999979,2.057769636188578,2.057765734453717,2.058477028569631,1.1685464601382496,0.7507217437945042,0.6424406469090558,0.62427757782757,3.901734861422312e-06,0.62427757782757,True,49,1.354472090042691e-14,1.354472090042691e-14,2.3092638912203256e-14,2.1250362580715887e-17,,0.9975000743258585,0.9979172336059446,1.9979172336059445
xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p0025,xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p0025,xover-m05-g2-L5p3-n2-beta0,40,0.0025,0.0024999999999999957,2.0577696361897218,2.057765734453717,2.058477028569631,1.1685464601382496,0.7507217437945042,0.6424406469090558,0.6242777607923244,3.901736004952028e-06,0.6242777607923244,True,49,1.9761969838327786e-14,1.9761969838327786e-14,2.7977620220553945e-14,-4.336808689942018e-18,,0.9975000743258611,0.997917233605943,1.997917233605943
xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p005,xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p005,xover-m05-g2-L5p3-n2-beta0,40,0.005,0.005000000000000004,2.0577813417508968,2.057765734453717,2.058477028569631,1.1685464601382496,0.7507217437945042,0.6424406469090558,0.6242918871990355,1.5607297179975888e-05,0.6242918871990355,True,96,1.2434497875801753e-14,1.2434497875801753e-14,3.352873534367973e-14,3.469446951953614e-18,,0.9950002833571397,0.9958312063900482,1.995831206390048
xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p01,xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p01,xover-m05-g2-L5p3-n2-beta0,40,0.01,0.010000000000000009,2.0578281693213696,2.057765734453717,2.058477028569631,1.1685464601382496,0.7507217437945042,0.6424406469090558,0.6243486765278305,6.243486765278305e-05,0.6243486765278305,True,48,1.6653345369377348e-14,1.6653345369377348e-14,2.864375403532904e-14,8.673617379884035e-18,,0.9900010211376462,0.9916494160818556,1.9916494160818556
xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0,40,0.02,0.02000000000000001,2.0580155648535157,2.057765734453717,2.058477028569631,1.1685464601382496,0.7507217437945042,0.6424406469090558,0.6245759994971678,0.0002498303997988671,0.6245759994971678,True,48,1.6431300764452317e-14,1.6431300764452317e-14,2.886579864025407e-14,1.0408340855860843e-17,,0.9800031745538157,0.9832471997786238,1.9832471997786238
xover-m05-g2-L5p3-n2-beta0__N0080__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0080__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,80,-0.02,-0.019999999999999997,2.0585540982133685,2.0582988129228155,2.058477028569631,1.1685464601382496,0.7507217437945042,0.6424406469090558,0.638213226382689,0.0002552852905530756,0.638213226382689,True,88,7.771561172376096e-14,7.771561172376096e-14,8.681944052568724e-14,3.469446951953614e-18,,0.9800007413678691,0.9832591215505095,1.9832591215505095
xover-m05-g2-L5p3-n2-beta0__N0080__Aminus_0p01,xover-m05-g2-L5p3-n2-beta0__N0080__Aplus_0p01,xover-m05-g2-L5p3-n2-beta0,80,-0.01,-0.01000000000000001,2.0583626107083974,2.0582988129228155,2.058477028569631,1.1685464601382496,0.7507217437945042,0.6424406469090558,0.6379778558196492,6.379778558196492e-05,0.6379778558196492,True,88,8.504308368628699e-14,8.504308368628699e-14,9.392486788328824e-14,-1.0408340855860843e-17,,0.9900004092820469,0.991656139196138,1.991656139196138
