state_id,reflection_partner_id,case,mesh,requested_amplitude,measured_amplitude,chi,chi_star_disc,chi_star_continuum,alpha_n0,beta_n0,theory_c2,point_c2,delta_chi,delta_chi_over_amplitude_squared,solver_success,function_evaluations,system_residual_max,full_stationary_residual_max,elliptic_residual_max,amplitude_error,mass_constraint_error,u_min,v_min,sensitivity_denominator_min
hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta2,48,-0.02,-0.01999999999999999,8.211929846913431,8.212570579154502,8.216838627386297,0.29061214746805425,-0.45731522486934206,-1.573627354718931,-1.6018306026754914,-0.0006407322410701966,-1.6018306026754914,True,56,1.3100631690576847e-14,1.3100631690576847e-14,1.6653345369377348e-14,1.0408340855860843e-17,,0.9797410383076419,0.9830315607561465,1.9830315607561464
hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p01,hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p01,hm-m05-g2-L8-n3-beta2,48,-0.01,-0.009999999999999998,8.212410345652712,8.212570579154502,8.216838627386297,0.29061214746805425,-0.45731522486934206,-1.573627354718931,-1.6023350178961948,-0.00016023350178961948,-1.6023350178961948,True,56,7.993605777301127e-15,7.993605777301127e-15,1.532107773982716e-14,1.734723475976807e-18,,0.9899351803483661,0.9915618046940575,1.9915618046940575
hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p005,hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p005,hm-m05-g2-L8-n3-beta2,48,-0.005,-0.005000000000000015,8.212530517625904,8.212570579154502,8.216838627386297,0.29061214746805425,-0.45731522486934206,-1.573627354718931,-1.6024611439036107,-4.006152859759027e-05,-1.6024611439036107,True,111,1.1102230246251565e-14,1.1102230246251565e-14,1.4654943925052066e-14,-1.474514954580286e-17,,0.9949837859922995,0.9957925973507135,1.9957925973507136
hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p0025,hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p0025,hm-m05-g2-L8-n3-beta2,48,-0.0025,-0.0025000000000000096,8.212560563575455,8.212570579154502,8.216838627386297,0.29061214746805425,-0.45731522486934206,-1.573627354718931,-1.6024926475211032,-1.0015579047006895e-05,-1.6024926475211032,True,109,7.549516567451064e-15,7.549516567451064e-15,1.4876988529977098e-14,-9.540979117872439e-18,,0.9974959454116604,0.9978992460665961,1.997899246066596
hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p0025,hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p0025,hm-m05-g2-L8-n3-beta2,48,0.0025,0.0025000000000000074,8.212560563574959,8.212570579154502,8.216838627386297,0.29061214746805425,-0.45731522486934206,-1.573627354718931,-1.6024927268176725,-1.0015579542610453e-05,-1.6024927268176725,True,110,1.7541523789077473e-14,1.7541523789077473e-14,1.3100631690576847e-14,7.37257477290143e-18,,0.9974959454116619,0.9978992460665969,1.9978992460665967
hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p005,hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p005,hm-m05-g2-L8-n3-beta2,48,0.005,0.005000000000000009,8.212530517625597,8.212570579154502,8.216838627386297,0.29061214746805425,-0.45731522486934206,-1.573627354718931,-1.602461156196,-4.00615289049e-05,-1.602461156196,True,110,9.769962616701378e-15,9.769962616701378e-15,1.3100631690576847e-14,8.673617379884035e-18,,0.9949837859922727,0.9957925973506825,1.9957925973506825
hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p01,hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p01,hm-m05-g2-L8-n3-beta2,48,0.01,0.009999999999999981,8.21241034565247,8.212570579154502,8.216838627386297,0.29061214746805425,-0.45731522486934206,-1.573627354718931,-1.6023350203120401,-0.000160233502031204,-1.6023350203120401,True,56,1.2323475573339238e-14,1.2323475573339238e-14,1.6209256159527285e-14,-1.9081958235744878e-17,,0.9899351803483697,0.9915618046940634,1.9915618046940633
hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta2,48,0.02,0.020000000000000025,8.211929846913284,8.212570579154502,8.216838627386297,0.29061214746805425,-0.45731522486934206,-1.573627354718931,-1.6018306030440854,-0.0006407322412176342,-1.6018306030440854,True,56,1.2878587085651816e-14,1.2878587085651816e-14,1.84297022087776e-14,2.42861286636753e-17,,0.9797410383076277,0.983031560756129,1.983031560756129
hm-m05-g2-L8-n3-beta2__N0096__Aminus_0p02,hm-m05-g2-L8-n3-beta2__N0096__Aplus_0p02,hm-m05-g2-L8-n3-beta2,96,-0.02,-0.02,8.21513571851696,8.215767791786476,8.216838627386297,0.29061214746805425,-0.45731522486934206,-1.573627354718931,-1.5801831737904948,-0.0006320732695161979,-1.5801831737904948,True,106,6.061817714453355e-14,6.061817714453355e-14,8.748557434046234e-14,0.0,,0.9797431271308056,0.9830575060658173,1.9830575060658173
hm-m05-g2-L8-n3-beta2__N0096__Aminus_0p01,hm-m05-g2-L8-n3-beta2__N0096__Aplus_0p01,hm-m05-g2-L8-n3-beta2,96,-0.01,-0.009999999999999997,8.215609726574852,8.215767791786476,8.216838627386297,0.29061214746805425,-0.45731522486934206,-1.573627354718931,-1.5806521162353704,-0.00015806521162353704,-1.5806521162353704,True,104,5.3734794391857577e-14,5.3734794391857577e-14,8.881784197001252e-14,3.469446951953614e-18,,0.9899357042690993,0.9915741657084065,1.9915741657084065
hm-m05-g2-L8-n3-beta2__N0096__Aminus_0p005,hm-m05-g2-L8-n3-beta2__N0096__Aplus_0p005,hm-m05-g2-L8-n3-beta2,96,-0.005,-0.005000000000000001,8.215728272551427,8.215767791786476,8.216838627386297,0.29061214746805425,-0.45731522486934206,-1.573627354718931,-1.580769401954285,-3.9519235048857126e-05,-1.580769401954285,True,305,4.518607710224387e-14,4.518607710224387e-14,7.460698725481052e-14,-8.673617379884035e-19,,0.9949839171531468,0.995798622862737,1.9957986228627371
