state_id,reflection_partner_id,case,mesh,requested_amplitude,node,x,u,v
hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta2,48,-0.02,0,0.0,0.9797410383077106,0.9830315607562299
hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta2,48,-0.02,1,0.16666666666666666,0.9801296497630613,0.9833529365702849
hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta2,48,-0.02,2,0.3333333333333333,0.981280075670232,0.9843048347794963
hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta2,48,-0.02,3,0.5,0.9831467498149575,0.9858510176518218
hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta2,48,-0.02,4,0.6666666666666666,0.9856558919919656,0.9879325751347058
hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta2,48,-0.02,5,0.8333333333333333,0.9887086371288912,0.990470105887485
hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta2,48,-0.02,6,1.0,0.9921851908548653,0.9933666737723256
hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta2,48,-0.02,7,1.1666666666666665,0.9959498027871303,0.9965114422355167
hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta2,48,-0.02,8,1.3333333333333333,0.9998563126918026,0.9997838616032574
hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta2,48,-0.02,9,1.5,1.00375400532179,1.0030582591813761
hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta2,48,-0.02,10,1.6666666666666665,1.0074935087078305,1.0062086610923238
hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta2,48,-0.02,11,1.8333333333333333,1.0109324874041432,1.0091136599756023
hm-m05-g2-L8-n3-beta2__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta2__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta2,48,-0.02,12,2.0,1.0139409137249715,1.0116611356890604
