state_id,reflection_partner_id,case,mesh,requested_amplitude,measured_amplitude,chi,chi_star_disc,chi_star_continuum,alpha_n0,beta_n0,theory_c2,point_c2,delta_chi,delta_chi_over_amplitude_squared,solver_success,function_evaluations,system_residual_max,full_stationary_residual_max,elliptic_residual_max,amplitude_error,mass_constraint_error,u_min,v_min,sensitivity_denominator_min
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,-0.020000000000000018,4.115709809689235,4.115531468907434,4.116954057139262,0.5842732300691248,0.26157104360164046,0.44768616828584507,0.4458519545025297,0.00017834078180101187,0.4458519545025297,True,48,2.1538326677728037e-14,2.1538326677728037e-14,2.4646951146678475e-14,-1.734723475976807e-17,,0.9798744660220536,0.9832070015426513,1.9832070015426513
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p01,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p01,hm-m05-g2-L5p3-n2-beta1,40,-0.01,-0.009999999999999998,4.115576034619262,4.115531468907434,4.116954057139262,0.5842732300691248,0.26157104360164046,0.44768616828584507,0.44565711828425947,4.456571182842595e-05,0.44565711828425947,True,48,2.3314683517128287e-14,2.3314683517128287e-14,2.9976021664879227e-14,1.734723475976807e-18,,0.9899686243993956,0.9916391692683658,1.9916391692683657
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p005,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p005,hm-m05-g2-L5p3-n2-beta1,40,-0.005,-0.004999999999999999,4.11554260911769,4.115531468907434,4.116954057139262,0.5842732300691248,0.26157104360164046,0.44768616828584507,0.4456084102599789,1.1140210256499472e-05,0.4456084102599789,True,94,1.9539925233402755e-14,1.9539925233402755e-14,2.4868995751603507e-14,8.673617379884035e-19,,0.9949921570523086,0.9958286202898405,1.9958286202898405
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p0025,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p0025,hm-m05-g2-L5p3-n2-beta1,40,-0.0025,-0.002499999999999996,4.11553425388298,4.115531468907434,4.116954057139262,0.5842732300691248,0.26157104360164046,0.44768616828584507,0.44559608738836687,2.784975546177293e-06,0.44559608738836687,True,48,1.6209256159527285e-14,1.6209256159527285e-14,2.919886554764162e-14,3.903127820947816e-18,,0.9974980393801718,0.9979165840477728,1.9979165840477728
hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p0025,hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p0025,hm-m05-g2-L5p3-n2-beta1,40,0.0025,0.0024999999999999797,4.115534253885395,4.115531468907434,4.116954057139262,0.5842732300691248,0.26157104360164046,0.44768616828584507,0.4455964737815066,2.784977961134416e-06,0.4455964737815066,True,50,1.4432899320127035e-14,1.4432899320127035e-14,2.298161660974074e-14,-2.0383000842727483e-17,,0.9974980393801743,0.9979165840477747,1.9979165840477746
hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p005,hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p005,hm-m05-g2-L5p3-n2-beta1,40,0.005,0.004999999999999992,4.115542609118856,4.115531468907434,4.116954057139262,0.5842732300691248,0.26157104360164046,0.44768616828584507,0.4456084569071095,1.1140211422677737e-05,0.4456084569071095,True,94,1.6653345369377348e-14,1.6653345369377348e-14,2.4313884239290928e-14,-7.806255641895632e-18,,0.9949921570523111,0.9958286202898412,1.9958286202898412
hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p01,hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p01,hm-m05-g2-L5p3-n2-beta1,40,0.01,0.009999999999999998,4.115576034619839,4.115531468907434,4.116954057139262,0.5842732300691248,0.26157104360164046,0.44768616828584507,0.4456571240574192,4.456571240574192e-05,0.4456571240574192,True,48,1.6431300764452317e-14,1.6431300764452317e-14,2.375877272697835e-14,-1.734723475976807e-18,,0.9899686243993966,0.9916391692683663,1.9916391692683661
hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1,40,0.02,0.019999999999999993,4.115709809689522,4.115531468907434,4.116954057139262,0.5842732300691248,0.26157104360164046,0.44768616828584507,0.4458519552219542,0.00017834078208878168,0.4458519552219542,True,48,1.887379141862766e-14,1.887379141862766e-14,2.3869795029440866e-14,-6.938893903907228e-18,,0.979874466022054,0.9832070015426503,1.9832070015426502
hm-m05-g2-L5p3-n2-beta1__N0080__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0080__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,80,-0.02,-0.019999999999999987,4.116776595690373,4.116597625845631,4.116954057139262,0.5842732300691248,0.26157104360164046,0.44768616828584507,0.4474246118557623,0.00017896984474230493,0.4474246118557623,True,88,6.195044477408373e-14,6.195044477408373e-14,9.703349235223868e-14,1.3877787807814457e-17,,0.9798738901595963,0.983221231363544,1.983221231363544
hm-m05-g2-L5p3-n2-beta1__N0080__Aminus_0p01,hm-m05-g2-L5p3-n2-beta1__N0080__Aplus_0p01,hm-m05-g2-L5p3-n2-beta1,80,-0.01,-0.009999999999999988,4.1166423485895125,4.116597625845631,4.116954057139262,0.5842732300691248,0.26157104360164046,0.44768616828584507,0.447227438815645,4.47227438815645e-05,0.447227438815645,True,263,8.482103908136196e-14,8.482103908136196e-14,7.038813976123492e-14,1.214306433183765e-17,,0.9899684803575631,0.9916464736047166,1.9916464736047166
