state_id,reflection_partner_id,case,mesh,requested_amplitude,node,x,u,v
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,0,0.0,0.9798744660220536,0.9832070015426513
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,1,0.1325,0.980117068250091,0.9834093639425177
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,2,0.265,0.9808391664817698,0.9840116558997394
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,3,0.3975,0.9820237501171871,0.9849995916993036
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,4,0.53,0.9836428503455941,0.9863496944304142
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,5,0.6625000000000001,0.9856581120273279,0.9880297921155303
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,6,0.795,0.9880215907337517,0.9899997062392312
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,7,0.9275,0.9906767695995001,0.9922121255900272
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,8,1.06,0.9935597868501875,0.9946136549628141
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,9,1.1925000000000001,0.996600859773276,0.9971460241306757
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,10,1.3250000000000002,0.9997258846040996,0.9997474376482712
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,11,1.4575,1.0028581845854512,1.0023540406757545
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,12,1.59,1.005920370772514,1.0049014704027415
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,13,1.7225000000000001,1.0088362725689388,1.0073264571903036
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,14,1.855,1.011532888147502,1.0095684346843763
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,15,1.9875,1.0139422995013583,1.0115711143617174
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,16,2.12,1.0160034935123907,1.013283977705002
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,17,2.2525,1.0176640296207269,1.0146636388530468
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,18,2.3850000000000002,1.0188814967723785,1.0156750324056458
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,19,2.5175,1.019624707435146,1.0162923851956511
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,20,2.6500000000000004,1.0198745844955774,1.0164999372099333
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,21,2.7825,1.0196247074351463,1.0162923851956513
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,22,2.915,1.0188814967723787,1.0156750324056463
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,23,3.0475000000000003,1.017664029620727,1.0146636388530474
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,24,3.18,1.0160034935123912,1.0132839777050027
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,25,3.3125,1.013942299501359,1.0115711143617183
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,26,3.4450000000000003,1.0115328881475028,1.0095684346843774
hm-m05-g2-L5p3-n2-beta1__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta1__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta1,40,-0.02,27,3.5775,1.0088362725689397,1.0073264571903044
