state_id,reflection_partner_id,case,mesh,requested_amplitude,measured_amplitude,chi,chi_star_disc,chi_star_continuum,alpha_n0,beta_n0,theory_c2,point_c2,delta_chi,delta_chi_over_amplitude_squared,solver_success,function_evaluations,system_residual_max,full_stationary_residual_max,elliptic_residual_max,amplitude_error,mass_constraint_error,u_min,v_min,sensitivity_denominator_min
hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p02,hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p02,hm-a10-g1-L5p3-n3-beta0,48,-0.02,-0.01999999999999982,1.7324650687664904,1.7324588427270258,1.7324555321844923,7.597429403961728,0.12138172189629055,0.01597668309138816,0.015565098661629584,6.2260394646518336e-06,0.015565098661629584,True,58,1.8474111129762605e-13,1.8474111129762605e-13,4.121147867408581e-13,1.8041124150158794e-16,,9.980030337369735,9.995167086591175,10.995167086591175
hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p01,hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p01,hm-a10-g1-L5p3-n3-beta0,48,-0.01,-0.010000000000000136,1.7324603992214447,1.7324588427270258,1.7324555321844923,7.597429403961728,0.12138172189629055,0.01597668309138816,0.015564944189083718,1.5564944189083718e-06,0.015564944189083718,True,55,2.8421709430404007e-13,2.8421709430404007e-13,3.6415315207705135e-13,-1.3530843112619095e-16,,9.990007597054904,9.997587551244605,10.997587551244605
hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p005,hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p005,hm-a10-g1-L5p3-n3-beta0,48,-0.005,-0.005,1.7324592318492655,1.7324588427270258,1.7324555321844923,7.597429403961728,0.12138172189629055,0.01597668309138816,0.015564889590535813,3.8912223976339533e-07,0.015564889590535813,True,55,3.126388037344441e-13,3.126388037344441e-13,4.1744385725905886e-13,0.0,,9.995001900856408,9.998794777431549,10.998794777431549
hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p0025,hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p0025,hm-a10-g1-L5p3-n3-beta0,48,-0.0025,-0.0024999999999999827,1.7324589400068642,1.7324588427270258,1.7324555321844923,7.597429403961728,0.12138172189629055,0.01597668309138816,0.01556477414510482,9.727983840690513e-08,0.01556477414510482,True,55,2.1316282072803006e-13,2.1316282072803006e-13,3.7125857943465235e-13,1.734723475976807e-17,,9.997500475413283,9.99939763914648,10.99939763914648
hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p0025,hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p0025,hm-a10-g1-L5p3-n3-beta0,48,0.0025,0.002499999999999899,1.7324589400091575,1.7324588427270258,1.7324555321844923,7.597429403961728,0.12138172189629055,0.01597668309138816,0.015565141069373567,9.72821316835848e-08,0.015565141069373567,True,55,2.8421709430404007e-13,2.8421709430404007e-13,3.659295089164516e-13,-1.0104764247564901e-16,,9.997500475413272,9.999397639146466,10.999397639146466
hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p005,hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p005,hm-a10-g1-L5p3-n3-beta0,48,0.005,0.004999999999999897,1.7324592318503875,1.7324588427270258,1.7324555321844923,7.597429403961728,0.12138172189629055,0.01597668309138816,0.01556493447019136,3.89123361754784e-07,0.01556493447019136,True,55,2.8421709430404007e-13,2.8421709430404007e-13,3.1441516057384433e-13,-1.0321604682062002e-16,,9.995001900856403,9.998794777431536,10.998794777431536
hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p01,hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p01,hm-a10-g1-L5p3-n3-beta0,48,0.01,0.009999999999999933,1.732460399221655,1.7324588427270258,1.7324555321844923,7.597429403961728,0.12138172189629055,0.01597668309138816,0.015564946291846127,1.5564946291846127e-06,0.015564946291846127,True,55,3.410605131648481e-13,3.410605131648481e-13,3.055333763768431e-13,-6.765421556309548e-17,,9.990007597054904,9.997587551244601,10.997587551244601
hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p02,hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p02,hm-a10-g1-L5p3-n3-beta0,48,0.02,0.020000000000000167,1.7324650687666447,1.7324588427270258,1.7324555321844923,7.597429403961728,0.12138172189629055,0.01597668309138816,0.015565099047432085,6.226039618972834e-06,0.015565099047432085,True,58,2.4158453015843406e-13,2.4158453015843406e-13,3.552713678800501e-13,1.6653345369377348e-16,,9.98003033736971,9.995167086591154,10.995167086591154
hm-a10-g1-L5p3-n3-beta0__N0096__Aminus_0p02,hm-a10-g1-L5p3-n3-beta0__N0096__Aplus_0p02,hm-a10-g1-L5p3-n3-beta0,96,-0.02,-0.01999999999999993,1.7324620968549787,1.7324557473150326,1.7324555321844923,7.597429403961728,0.12138172189629055,0.01597668309138816,0.015873849865122303,6.349539946048921e-06,0.015873849865122303,True,205,9.947598300641403e-13,9.947598300641403e-13,1.241673430740775e-12,6.938893903907228e-17,,9.980029645493955,9.995175636449083,10.995175636449083
hm-a10-g1-L5p3-n3-beta0__N0096__Aminus_0p01,hm-a10-g1-L5p3-n3-beta0__N0096__Aplus_0p01,hm-a10-g1-L5p3-n3-beta0,96,-0.01,-0.010000000000000068,1.7324573346847572,1.7324557473150326,1.7324555321844923,7.597429403961728,0.12138172189629055,0.01597668309138816,0.015873697245538665,1.5873697245538665e-06,0.015873697245538665,True,103,9.521272659185342e-13,9.521272659185342e-13,9.29034627006331e-13,-6.765421556309548e-17,,9.990007423819174,9.99759189100916,10.99759189100916
hm-a10-g1-L5p3-n3-beta0__N0096__Aminus_0p005,hm-a10-g1-L5p3-n3-beta0__N0096__Aplus_0p005,hm-a10-g1-L5p3-n3-beta0,96,-0.005,-0.005000000000000036,1.7324561441569282,1.7324557473150326,1.7324555321844923,7.597429403961728,0.12138172189629055,0.01597668309138816,0.01587367582267518,3.9684189556687954e-07,0.01587367582267518,True,103,1.0089706847793423e-12,1.0089706847793423e-12,1.0409451078885468e-12,-3.5561831257524545e-17,,9.995001857513772,9.998796963529157,10.998796963529157
