state_id,reflection_partner_id,case,mesh,requested_amplitude,node,x,u,v
hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p02,hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p02,hm-a10-g1-L5p3-n3-beta0,48,-0.02,0,0.0,9.980030337369843,9.995167086591193
hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p02,hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p02,hm-a10-g1-L5p3-n3-beta0,48,-0.02,1,0.11041666666666666,9.980410828683059,9.995259359005606
hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p02,hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p02,hm-a10-g1-L5p3-n3-beta0,48,-0.02,2,0.22083333333333333,9.9815381102309,9.995532662330072
hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p02,hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p02,hm-a10-g1-L5p3-n3-beta0,48,-0.02,3,0.33125,9.983370085766309,9.99597658499849
hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p02,hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p02,hm-a10-g1-L5p3-n3-beta0,48,-0.02,4,0.44166666666666665,9.985838188993865,9.996574204092006
hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p02,hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p02,hm-a10-g1-L5p3-n3-beta0,48,-0.02,5,0.5520833333333333,9.988849742322158,9.997302714966818
hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p02,hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p02,hm-a10-g1-L5p3-n3-beta0,48,-0.02,6,0.6625,9.992291190887643,9.998134283133986
hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p02,hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p02,hm-a10-g1-L5p3-n3-beta0,48,-0.02,7,0.7729166666666667,9.99603213646553,9.999037089348546
hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p02,hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p02,hm-a10-g1-L5p3-n3-beta0,48,-0.02,8,0.8833333333333333,9.999930065948883,9.999976531468699
hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p02,hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p02,hm-a10-g1-L5p3-n3-beta0,48,-0.02,9,0.9937499999999999,10.003835635803332,10.000916540089046
hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p02,hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p02,hm-a10-g1-L5p3-n3-beta0,48,-0.02,10,1.1041666666666665,10.00759833936706,10.001820959560687
hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p02,hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p02,hm-a10-g1-L5p3-n3-beta0,48,-0.02,11,1.2145833333333333,10.01107235119722,10.002654942140502
hm-a10-g1-L5p3-n3-beta0__N0048__Aminus_0p02,hm-a10-g1-L5p3-n3-beta0__N0048__Aplus_0p02,hm-a10-g1-L5p3-n3-beta0,48,-0.02,12,1.325,10.014122315727356,10.003386301013542
